Latitude_dn3,Longitude_dn3,Latitude_dn1,Longitude_dn1,WifiStrength_dn3todn1,WifiStrength_dn1todn3,Distance (meters)
13.192173333,-59.642055,13.192168333,-59.642121667,68,999,7.05454432691
13.192171667,-59.642056667,13.19217,-59.642121667,68,68,7.04721847835
13.192171667,-59.642058333,13.19217,-59.642123333,68,68,7.04721847973
13.192173333,-59.642058333,13.192171667,-59.642125,68,68,7.2278258695
13.192173333,-59.64206,13.192171667,-59.642126667,64,64,7.22782587088
13.192173333,-59.642061667,13.192171667,-59.642126667,64,64,7.04721550133
13.192175,-59.642063333,13.192171667,-59.642128333,64,64,7.05453837541
13.192175,-59.642065,13.192173333,-59.64213,64,64,7.04721838371
13.192175,-59.642065,13.192173333,-59.642131667,64,64,7.22782867742
13.192176667,-59.642065,13.192173333,-59.642133333,64,64,7.41530265259
13.192175,-59.642065,13.192175,-59.642133333,64,64,7.40600909633
13.192176667,-59.642065,13.192175,-59.642133333,64,64,7.40833355313
13.192176667,-59.642063333,13.192175,-59.642135,64,64,7.58894959023
13.192178333,-59.642066667,13.192176667,-59.642135,64,64,7.40833071511
13.192178333,-59.642068333,13.192176667,-59.642135,60,60,7.22782572312
13.19218,-59.64207,13.192178333,-59.642136667,60,60,7.22782853105
13.192181667,-59.642068333,13.19218,-59.642136667,60,60,7.41541074847
13.192183333,-59.64207,13.19218,-59.642138333,60,60,7.40600894621
13.192181667,-59.64207,13.19218,-59.642138333,60,60,7.40833340306
13.192181667,-59.642071667,13.19218,-59.64214,47,47,7.40833340168
13.192181667,-59.642071667,13.192181667,-59.64214,47,47,7.40600889433
13.192183333,-59.642071667,13.192181667,-59.642141667,47,47,7.58894666217
13.192185,-59.642071667,13.192181667,-59.642143333,47,47,7.77609973323
13.192185,-59.642073333,13.192181667,-59.642143333,47,47,7.5957472809
13.192185,-59.642075,13.192183333,-59.642146667,47,47,7.58894933167
13.192186667,-59.642078333,13.192183333,-59.642148333,58,58,7.77610499392
13.192188333,-59.64208,13.192185,-59.642148333,58,58,7.41529673023
13.192188333,-59.642078333,13.192185,-59.64215,58,58,7.77620788563
13.192188333,-59.642078333,13.192186667,-59.642151667,58,58,7.95667815361
13.192191667,-59.642078333,13.192186667,-59.642153333,58,58,7.77620783271
13.192191667,-59.64208,13.192188333,-59.642156667,60,60,8.14761949537
13.192196667,-59.642088333,13.192191667,-59.642163333,60,60,7.77620772692
13.192198333,-59.642091667,13.192196667,-59.64217,60,60,8.1370538803
13.192203333,-59.642095,13.1922,-59.642173333,56,56,8.49792327648
13.192203333,-59.642101667,13.192205,-59.642176667,47,47,8.31753610497
13.192205,-59.642105,13.192206667,-59.64218,60,47,8.31132847492
13.192206667,-59.642113333,13.19221,-59.642185,60,60,8.12858516895
13.19221,-59.642118333,13.192211667,-59.642191667,60,60,7.76956714168
13.192208333,-59.642126667,13.192211667,-59.642198333,64,64,7.95657432509
13.192211667,-59.642128333,13.192211667,-59.642203333,64,64,7.95018807114
13.192211667,-59.642133333,13.19221,-59.642206667,60,60,8.1285850013
13.192215,-59.64214,13.19221,-59.64221,46,46,7.59574640254
13.19222,-59.64214,13.192211667,-59.642215,64,46,8.16238523075
13.192221667,-59.642141667,13.192215,-59.642216667,64,64,8.00187563639
13.192225,-59.642146667,13.192216667,-59.64222,68,68,8.36076638286
13.192228333,-59.642148333,13.19222,-59.642225,47,68,8.20445471937
13.192231667,-59.642151667,13.192225,-59.642228333,47,47,8.38349104494
13.192236667,-59.642153333,13.19223,-59.642231667,48,48,8.52219618261
13.192238333,-59.642155,13.192233333,-59.642235,60,60,8.52230397945
13.192236667,-59.64216,13.192233333,-59.642238333,60,60,8.49792686514
13.19224,-59.642161667,13.192238333,-59.642241667,56,56,8.68833641752
13.192243333,-59.642166667,13.19224,-59.642246667,60,60,8.85883034277
13.192246667,-59.642171667,13.192241667,-59.64225,70,70,8.50804390225
13.192248333,-59.642175,13.192241667,-59.642255,47,47,8.68833618013
13.19225,-59.64218,13.192243333,-59.64226,60,60,8.71996939027
13.192251667,-59.642186667,13.192241667,-59.642265,56,60,8.71998117417
13.192255,-59.642188333,13.19224,-59.642271667,48,56,8.58867462235
13.192255,-59.642191667,13.19224,-59.642276667,48,48,9.18478124408
13.192256667,-59.642195,13.192241667,-59.642281667,60,60,9.39736924946
13.192258333,-59.642203333,13.192246667,-59.642286667,60,60,9.33120794806
13.19226,-59.642211667,13.192251667,-59.64229,47,47,8.74165724328
13.19226,-59.64222,13.192255,-59.642293333,46,46,8.5221855677
13.192263333,-59.642223333,13.192261667,-59.6423,60,46,7.96737748665
13.192266667,-59.642226667,13.192266667,-59.642308333,60,60,8.48981752601
13.192271667,-59.64223,13.19227,-59.642313333,47,47,8.67048866019
13.192275,-59.642235,13.192273333,-59.642316667,43,43,8.85299417495
13.192278333,-59.64224,13.192276667,-59.642321667,44,44,8.85299638694
13.192276667,-59.642245,13.192278333,-59.642326667,46,46,8.49195077035
13.19228,-59.642248333,13.192281667,-59.64233,60,60,8.85115960455
13.192285,-59.642251667,13.192288333,-59.642338333,56,56,8.85310217074
13.192286667,-59.642258333,13.192291667,-59.642345,60,60,9.58081456407
13.192288333,-59.642263333,13.192295,-59.642351667,60,60,9.4095409938
13.192293333,-59.64227,13.192298333,-59.642356667,47,46,9.58979348787
13.1923,-59.642275,13.1923,-59.642363333,47,47,9.76135244029
13.192305,-59.642283333,13.192303333,-59.64237,60,60,9.39489711674
13.19231,-59.642288333,13.192308333,-59.642376667,47,47,9.57553362243
13.192313333,-59.642293333,13.192315,-59.642385,62,62,9.75606303947
13.192316667,-59.642301667,13.192318333,-59.642391667,64,64,9.57362660567
13.192318333,-59.642306667,13.192321667,-59.642395,70,70,9.57553100753
13.19232,-59.642311667,13.192325,-59.642398333,58,58,9.58092587127
13.192325,-59.642313333,13.192331667,-59.642403333,62,62,9.40953965254
13.19233,-59.642316667,13.192335,-59.642408333,62,62,9.78249059619
13.192333333,-59.642325,13.192338333,-59.642415,43,43,10.1428285689
13.192336667,-59.642331667,13.19234,-59.64242,60,47,9.77016417597
13.192341667,-59.64234,13.192341667,-59.642428333,60,60,9.76135077871
13.192346667,-59.642341667,13.192345,-59.642433333,60,60,9.75429674836
13.19235,-59.642348333,13.192346667,-59.642443333,42,42,10.1223328389
13.192353333,-59.642355,13.192351667,-59.64245,47,47,10.12233277
13.192351667,-59.642358333,13.192353333,-59.642456667,47,47,10.2962017716
13.192355,-59.642365,13.192358333,-59.642461667,68,68,10.476872875
13.19236,-59.642368333,13.192365,-59.642466667,42,42,10.3028843168
13.192363333,-59.642373333,13.192368333,-59.64247,43,43,10.4834401716
13.192368333,-59.642375,13.192371667,-59.642473333,56,56,10.4834400288
13.192371667,-59.642378333,13.192371667,-59.642478333,60,60,10.6590504948
13.192373333,-59.642385,13.192373333,-59.642483333,58,58,10.6574350105
13.192376667,-59.642386667,13.192375,-59.642491667,47,47,11.018777397
13.192378333,-59.64239,13.192375,-59.6425,47,47,11.5605742457
13.192383333,-59.642391667,13.192378333,-59.642501667,47,47,12.1040086767
13.192385,-59.642396667,13.19238,-59.642506667,46,46,11.9276883853
13.192388333,-59.6424,13.192381667,-59.64251,46,46,11.9449945053
13.192391667,-59.642406667,13.19238,-59.642516667,46,46,12.1536748014
13.192396667,-59.64241,13.192383333,-59.642521667,56,56,11.9924499143
13.192396667,-59.642416667,13.192385,-59.642528333,46,46,12.0139628173
13.192396667,-59.642425,13.192386667,-59.642533333,47,47,12.172073994
13.192401667,-59.642428333,13.192391667,-59.642538333,58,58,11.7778398206
13.192403333,-59.642435,13.192395,-59.642541667,47,47,11.9579493381
13.19241,-59.642436667,13.192396667,-59.64255,47,47,11.5977294864
13.192411667,-59.642441667,13.192398333,-59.642558333,47,47,12.3517281887
13.192415,-59.642448333,13.1924,-59.64257,46,46,12.9334054394
13.19242,-59.642453333,13.192405,-59.642578333,43,43,13.1124776393
13.192423333,-59.64246,13.192405,-59.642588333,47,47,13.8083004613
13.192436667,-59.642465,13.19241,-59.642598333,46,46,14.4153980184
13.192441667,-59.642471667,13.192415,-59.642606667,47,47,14.7525237294
13.192446667,-59.64248,13.192418333,-59.642616667,46,46,14.929521133
13.192451667,-59.642483333,13.192423333,-59.642621667,44,44,15.1441845103
13.192451667,-59.642493333,13.192426667,-59.642631667,47,47,15.0711759006
